ratio,trial,C,val-acc,val-f,test-acc,test-f
0.0,26.0,0.2,0.8148148148148148,0.8051948051948051,0.7901234567901234,0.7536231884057971
0.0,26.0,0.04,0.8271604938271605,0.8205128205128206,0.8518518518518519,0.8181818181818182
0.0,26.0,0.008,0.8271604938271605,0.8108108108108107,0.8395061728395061,0.8059701492537314
0.0,26.0,0.0016,0.49382716049382713,0.0,0.5802469135802469,0.0
0.0,27.0,625.0,0.7901234567901234,0.7536231884057971,0.8888888888888888,0.8732394366197183
0.0,27.0,125.0,0.7901234567901234,0.7536231884057971,0.8888888888888888,0.8732394366197183
0.0,27.0,25.0,0.8024691358024691,0.7714285714285715,0.8765432098765432,0.8611111111111112
0.0,27.0,5.0,0.7901234567901234,0.7605633802816902,0.8888888888888888,0.8695652173913043
0.0,27.0,1.0,0.7901234567901234,0.746268656716418,0.8888888888888888,0.8656716417910448
0.0,27.0,0.2,0.8024691358024691,0.7575757575757577,0.9012345679012346,0.8823529411764707
0.0,27.0,0.04,0.7901234567901234,0.746268656716418,0.9012345679012346,0.8823529411764707
0.0,27.0,0.008,0.8024691358024691,0.7575757575757577,0.8641975308641975,0.8307692307692307
0.0,27.0,0.0016,0.5555555555555556,0.0,0.5432098765432098,0.0
0.0,28.0,625.0,0.7654320987654321,0.7164179104477612,0.8395061728395061,0.8395061728395061
0.0,28.0,125.0,0.7654320987654321,0.7164179104477612,0.8395061728395061,0.8395061728395061
0.0,28.0,25.0,0.7654320987654321,0.7164179104477612,0.8395061728395061,0.8395061728395061
0.0,28.0,5.0,0.7654320987654321,0.7164179104477612,0.8395061728395061,0.8395061728395061
0.0,28.0,1.0,0.7777777777777778,0.7352941176470588,0.8518518518518519,0.8500000000000002
0.0,28.0,0.2,0.7777777777777778,0.7428571428571429,0.8395061728395061,0.8395061728395061
0.0,28.0,0.04,0.7654320987654321,0.7164179104477612,0.8518518518518519,0.8536585365853657
0.0,28.0,0.008,0.8024691358024691,0.7419354838709677,0.8518518518518519,0.8500000000000002
0.0,28.0,0.0016,0.5432098765432098,0.0,0.5185185185185185,0.0
0.0,29.0,625.0,0.8148148148148148,0.7692307692307693,0.8148148148148148,0.7887323943661972
0.0,29.0,125.0,0.8148148148148148,0.7692307692307693,0.8148148148148148,0.7887323943661972
0.0,29.0,25.0,0.8148148148148148,0.7692307692307693,0.8148148148148148,0.7887323943661972
0.0,29.0,5.0,0.8271604938271605,0.787878787878788,0.8641975308641975,0.8405797101449276
0.0,29.0,1.0,0.8271604938271605,0.787878787878788,0.8518518518518519,0.8285714285714286
0.0,29.0,0.2,0.8518518518518519,0.8125,0.8888888888888888,0.8656716417910448
0.0,29.0,0.04,0.8395061728395061,0.7936507936507937,0.8395061728395061,0.7999999999999999
0.0,29.0,0.008,0.8395061728395061,0.7936507936507937,0.8271604938271605,0.78125
0.0,29.0,0.0016,0.5802469135802469,0.0,0.5432098765432098,0.05128205128205127
0.03,0.0,625.0,0.8395061728395061,0.7936507936507938,0.7654320987654321,0.7594936708860761
0.03,0.0,125.0,0.8395061728395061,0.7936507936507938,0.7654320987654321,0.7594936708860761
0.03,0.0,25.0,0.8395061728395061,0.7936507936507938,0.7654320987654321,0.7594936708860761
0.03,0.0,5.0,0.8395061728395061,0.7936507936507938,0.7530864197530864,0.75
0.03,0.0,1.0,0.8765432098765432,0.8333333333333334,0.7777777777777778,0.7631578947368423
0.03,0.0,0.2,0.8641975308641975,0.819672131147541,0.7901234567901234,0.7792207792207791
0.03,0.0,0.04,0.8518518518518519,0.8064516129032258,0.8024691358024691,0.7837837837837837
0.03,0.0,0.008,0.8888888888888888,0.8421052631578948,0.7777777777777778,0.7428571428571429
0.03,0.0,0.0016,0.6172839506172839,0.1142857142857143,0.5061728395061729,0.0
0.03,1.0,625.0,0.9012345679012346,0.8787878787878788,0.8271604938271605,0.8108108108108109
0.03,1.0,125.0,0.9012345679012346,0.8787878787878788,0.8271604938271605,0.8108108108108109
0.03,1.0,25.0,0.9012345679012346,0.8787878787878788,0.8271604938271605,0.8108108108108109
0.03,1.0,5.0,0.9012345679012346,0.8787878787878788,0.8148148148148148,0.7945205479452055
0.03,1.0,1.0,0.8765432098765432,0.8437500000000001,0.8024691358024691,0.7837837837837838
0.03,1.0,0.2,0.9012345679012346,0.8787878787878788,0.8024691358024691,0.7837837837837838
0.03,1.0,0.04,0.9012345679012346,0.8787878787878788,0.8641975308641975,0.8493150684931507
0.03,1.0,0.008,0.8765432098765432,0.8387096774193549,0.8148148148148148,0.7826086956521738
0.03,1.0,0.0016,0.5802469135802469,0.05555555555555556,0.5432098765432098,0.0
0.03,2.0,625.0,0.8271604938271605,0.8157894736842104,0.7777777777777778,0.7631578947368421
0.03,2.0,125.0,0.8271604938271605,0.8157894736842104,0.7777777777777778,0.7631578947368421
0.03,2.0,25.0,0.8271604938271605,0.8157894736842104,0.7777777777777778,0.7631578947368421
0.03,2.0,5.0,0.8271604938271605,0.8157894736842104,0.7901234567901234,0.7733333333333334
0.03,2.0,1.0,0.8148148148148148,0.8,0.7777777777777778,0.7567567567567567
0.03,2.0,0.2,0.8148148148148148,0.8,0.7654320987654321,0.7246376811594202
0.03,2.0,0.04,0.8518518518518519,0.8378378378378377,0.8271604938271605,0.7878787878787878
